date,year,month,week_number,day_of_year,district,state,min_temperature_c
2016-04-24,2016,4,16,115,Cuddalore,Tamil Nadu,29.48
2016-04-24,2016,4,16,115,Nagapattinam,Tamil Nadu,29.53
2016-04-24,2016,4,16,115,Virudhunagar,Tamil Nadu,26.46
2016-04-24,2016,4,16,115,Sivagangai,Tamil Nadu,27.1
2016-04-24,2016,4,16,115,Ramanathapuram,Tamil Nadu,27.1
2016-04-24,2016,4,16,115,Tiruppur,Tamil Nadu,24.28
2016-04-25,2016,4,17,116,Chennai,Tamil Nadu,29.24
2016-04-25,2016,4,17,116,Coimbatore,Tamil Nadu,23.38
2016-04-25,2016,4,17,116,Madurai,Tamil Nadu,27.0
2016-04-25,2016,4,17,116,Salem,Tamil Nadu,28.48
2016-04-25,2016,4,17,116,Trichy,Tamil Nadu,28.61
2016-04-25,2016,4,17,116,Tirunelveli,Tamil Nadu,27.83
2016-04-25,2016,4,17,116,Erode,Tamil Nadu,24.56
2016-04-25,2016,4,17,116,Vellore,Tamil Nadu,28.8
2016-04-25,2016,4,17,116,Thoothukudi,Tamil Nadu,28.34
2016-04-25,2016,4,17,116,Thanjavur,Tamil Nadu,29.05
2016-04-25,2016,4,17,116,Dindigul,Tamil Nadu,25.26
2016-04-25,2016,4,17,116,Kanyakumari,Tamil Nadu,27.83
2016-04-25,2016,4,17,116,Namakkal,Tamil Nadu,28.48
2016-04-25,2016,4,17,116,Karur,Tamil Nadu,28.61
2016-04-25,2016,4,17,116,Cuddalore,Tamil Nadu,29.06
2016-04-25,2016,4,17,116,Nagapattinam,Tamil Nadu,29.05
2016-04-25,2016,4,17,116,Virudhunagar,Tamil Nadu,26.53
2016-04-25,2016,4,17,116,Sivagangai,Tamil Nadu,27.0
2016-04-25,2016,4,17,116,Ramanathapuram,Tamil Nadu,27.0
2016-04-25,2016,4,17,116,Tiruppur,Tamil Nadu,24.56
2016-04-26,2016,4,17,117,Chennai,Tamil Nadu,28.44
2016-04-26,2016,4,17,117,Coimbatore,Tamil Nadu,22.62
2016-04-26,2016,4,17,117,Madurai,Tamil Nadu,26.76
2016-04-26,2016,4,17,117,Salem,Tamil Nadu,28.02
2016-04-26,2016,4,17,117,Trichy,Tamil Nadu,28.4
2016-04-26,2016,4,17,117,Tirunelveli,Tamil Nadu,27.3
2016-04-26,2016,4,17,117,Erode,Tamil Nadu,23.82
2016-04-26,2016,4,17,117,Vellore,Tamil Nadu,28.1
2016-04-26,2016,4,17,117,Thoothukudi,Tamil Nadu,27.93
2016-04-26,2016,4,17,117,Thanjavur,Tamil Nadu,28.78
2016-04-26,2016,4,17,117,Dindigul,Tamil Nadu,24.53
2016-04-26,2016,4,17,117,Kanyakumari,Tamil Nadu,27.3
2016-04-26,2016,4,17,117,Namakkal,Tamil Nadu,28.02
2016-04-26,2016,4,17,117,Karur,Tamil Nadu,28.4
2016-04-26,2016,4,17,117,Cuddalore,Tamil Nadu,28.7
2016-04-26,2016,4,17,117,Nagapattinam,Tamil Nadu,28.78
2016-04-26,2016,4,17,117,Virudhunagar,Tamil Nadu,25.94
2016-04-26,2016,4,17,117,Sivagangai,Tamil Nadu,26.76
2016-04-26,2016,4,17,117,Ramanathapuram,Tamil Nadu,26.76
2016-04-26,2016,4,17,117,Tiruppur,Tamil Nadu,23.82
2016-04-27,2016,4,17,118,Chennai,Tamil Nadu,27.56
2016-04-27,2016,4,17,118,Coimbatore,Tamil Nadu,22.55
2016-04-27,2016,4,17,118,Madurai,Tamil Nadu,26.63
2016-04-27,2016,4,17,118,Salem,Tamil Nadu,27.44
2016-04-27,2016,4,17,118,Trichy,Tamil Nadu,27.99
2016-04-27,2016,4,17,118,Tirunelveli,Tamil Nadu,27.28
2016-04-27,2016,4,17,118,Erode,Tamil Nadu,23.38
2016-04-27,2016,4,17,118,Vellore,Tamil Nadu,27.33
2016-04-27,2016,4,17,118,Thoothukudi,Tamil Nadu,27.79
2016-04-27,2016,4,17,118,Thanjavur,Tamil Nadu,28.33
2016-04-27,2016,4,17,118,Dindigul,Tamil Nadu,24.21
2016-04-27,2016,4,17,118,Kanyakumari,Tamil Nadu,27.28
2016-04-27,2016,4,17,118,Namakkal,Tamil Nadu,27.44
2016-04-27,2016,4,17,118,Karur,Tamil Nadu,27.99
2016-04-27,2016,4,17,118,Cuddalore,Tamil Nadu,28.18
2016-04-27,2016,4,17,118,Nagapattinam,Tamil Nadu,28.33
2016-04-27,2016,4,17,118,Virudhunagar,Tamil Nadu,25.97
2016-04-27,2016,4,17,118,Sivagangai,Tamil Nadu,26.63
2016-04-27,2016,4,17,118,Ramanathapuram,Tamil Nadu,26.63
2016-04-27,2016,4,17,118,Tiruppur,Tamil Nadu,23.38
2016-04-28,2016,4,17,119,Chennai,Tamil Nadu,27.7
2016-04-28,2016,4,17,119,Coimbatore,Tamil Nadu,22.47
2016-04-28,2016,4,17,119,Madurai,Tamil Nadu,26.37
2016-04-28,2016,4,17,119,Salem,Tamil Nadu,27.31
2016-04-28,2016,4,17,119,Trichy,Tamil Nadu,27.73
2016-04-28,2016,4,17,119,Tirunelveli,Tamil Nadu,27.23
2016-04-28,2016,4,17,119,Erode,Tamil Nadu,23.33
2016-04-28,2016,4,17,119,Vellore,Tamil Nadu,27.47
2016-04-28,2016,4,17,119,Thoothukudi,Tamil Nadu,27.65
2016-04-28,2016,4,17,119,Thanjavur,Tamil Nadu,28.28
2016-04-28,2016,4,17,119,Dindigul,Tamil Nadu,23.95
2016-04-28,2016,4,17,119,Kanyakumari,Tamil Nadu,27.23
2016-04-28,2016,4,17,119,Namakkal,Tamil Nadu,27.31
2016-04-28,2016,4,17,119,Karur,Tamil Nadu,27.73
2016-04-28,2016,4,17,119,Cuddalore,Tamil Nadu,28.01
2016-04-28,2016,4,17,119,Nagapattinam,Tamil Nadu,28.28
2016-04-28,2016,4,17,119,Virudhunagar,Tamil Nadu,26.0
2016-04-28,2016,4,17,119,Sivagangai,Tamil Nadu,26.37
2016-04-28,2016,4,17,119,Ramanathapuram,Tamil Nadu,26.37
2016-04-28,2016,4,17,119,Tiruppur,Tamil Nadu,23.33
2016-04-29,2016,4,17,120,Chennai,Tamil Nadu,27.77
2016-04-29,2016,4,17,120,Coimbatore,Tamil Nadu,22.43
2016-04-29,2016,4,17,120,Madurai,Tamil Nadu,26.09
2016-04-29,2016,4,17,120,Salem,Tamil Nadu,27.24
2016-04-29,2016,4,17,120,Trichy,Tamil Nadu,27.6
2016-04-29,2016,4,17,120,Tirunelveli,Tamil Nadu,26.78
2016-04-29,2016,4,17,120,Erode,Tamil Nadu,23.28
2016-04-29,2016,4,17,120,Vellore,Tamil Nadu,27.54
2016-04-29,2016,4,17,120,Thoothukudi,Tamil Nadu,27.16
2016-04-29,2016,4,17,120,Thanjavur,Tamil Nadu,27.9
2016-04-29,2016,4,17,120,Dindigul,Tamil Nadu,23.57
2016-04-29,2016,4,17,120,Kanyakumari,Tamil Nadu,26.78
2016-04-29,2016,4,17,120,Namakkal,Tamil Nadu,27.24
2016-04-29,2016,4,17,120,Karur,Tamil Nadu,27.6
2016-04-29,2016,4,17,120,Cuddalore,Tamil Nadu,27.72
2016-04-29,2016,4,17,120,Nagapattinam,Tamil Nadu,27.9
2016-04-29,2016,4,17,120,Virudhunagar,Tamil Nadu,25.45
2016-04-29,2016,4,17,120,Sivagangai,Tamil Nadu,26.09
2016-04-29,2016,4,17,120,Ramanathapuram,Tamil Nadu,26.09
2016-04-29,2016,4,17,120,Tiruppur,Tamil Nadu,23.28
2016-04-30,2016,4,17,121,Chennai,Tamil Nadu,27.47
2016-04-30,2016,4,17,121,Coimbatore,Tamil Nadu,22.44
2016-04-30,2016,4,17,121,Madurai,Tamil Nadu,26.23
2016-04-30,2016,4,17,121,Salem,Tamil Nadu,27.17
2016-04-30,2016,4,17,121,Trichy,Tamil Nadu,27.65
2016-04-30,2016,4,17,121,Tirunelveli,Tamil Nadu,27.06
2016-04-30,2016,4,17,121,Erode,Tamil Nadu,23.52
2016-04-30,2016,4,17,121,Vellore,Tamil Nadu,27.34
2016-04-30,2016,4,17,121,Thoothukudi,Tamil Nadu,27.51
2016-04-30,2016,4,17,121,Thanjavur,Tamil Nadu,27.87
2016-04-30,2016,4,17,121,Dindigul,Tamil Nadu,24.12
2016-04-30,2016,4,17,121,Kanyakumari,Tamil Nadu,27.06
2016-04-30,2016,4,17,121,Namakkal,Tamil Nadu,27.17
2016-04-30,2016,4,17,121,Karur,Tamil Nadu,27.65
2016-04-30,2016,4,17,121,Cuddalore,Tamil Nadu,27.64
2016-04-30,2016,4,17,121,Nagapattinam,Tamil Nadu,27.87
2016-04-30,2016,4,17,121,Virudhunagar,Tamil Nadu,25.81
2016-04-30,2016,4,17,121,Sivagangai,Tamil Nadu,26.23
2016-04-30,2016,4,17,121,Ramanathapuram,Tamil Nadu,26.23
2016-04-30,2016,4,17,121,Tiruppur,Tamil Nadu,23.52
2016-05-01,2016,5,17,122,Chennai,Tamil Nadu,27.49
2016-05-01,2016,5,17,122,Coimbatore,Tamil Nadu,22.09
2016-05-01,2016,5,17,122,Madurai,Tamil Nadu,25.94
2016-05-01,2016,5,17,122,Salem,Tamil Nadu,27.12
2016-05-01,2016,5,17,122,Trichy,Tamil Nadu,27.51
2016-05-01,2016,5,17,122,Tirunelveli,Tamil Nadu,26.35
2016-05-01,2016,5,17,122,Erode,Tamil Nadu,23.46
2016-05-01,2016,5,17,122,Vellore,Tamil Nadu,27.26
2016-05-01,2016,5,17,122,Thoothukudi,Tamil Nadu,26.89
2016-05-01,2016,5,17,122,Thanjavur,Tamil Nadu,27.58
2016-05-01,2016,5,17,122,Dindigul,Tamil Nadu,23.5
2016-05-01,2016,5,17,122,Kanyakumari,Tamil Nadu,26.35
2016-05-01,2016,5,17,122,Namakkal,Tamil Nadu,27.12
2016-05-01,2016,5,17,122,Karur,Tamil Nadu,27.51
2016-05-01,2016,5,17,122,Cuddalore,Tamil Nadu,27.5
2016-05-01,2016,5,17,122,Nagapattinam,Tamil Nadu,27.58
2016-05-01,2016,5,17,122,Virudhunagar,Tamil Nadu,25.18
2016-05-01,2016,5,17,122,Sivagangai,Tamil Nadu,25.94
2016-05-01,2016,5,17,122,Ramanathapuram,Tamil Nadu,25.94
2016-05-01,2016,5,17,122,Tiruppur,Tamil Nadu,23.46
2016-05-02,2016,5,18,123,Chennai,Tamil Nadu,27.86
2016-05-02,2016,5,18,123,Coimbatore,Tamil Nadu,22.9
2016-05-02,2016,5,18,123,Madurai,Tamil Nadu,26.28
2016-05-02,2016,5,18,123,Salem,Tamil Nadu,26.9
2016-05-02,2016,5,18,123,Trichy,Tamil Nadu,27.36
2016-05-02,2016,5,18,123,Tirunelveli,Tamil Nadu,27.15
2016-05-02,2016,5,18,123,Erode,Tamil Nadu,23.65
2016-05-02,2016,5,18,123,Vellore,Tamil Nadu,27.6
2016-05-02,2016,5,18,123,Thoothukudi,Tamil Nadu,27.43
2016-05-02,2016,5,18,123,Thanjavur,Tamil Nadu,27.66
2016-05-02,2016,5,18,123,Dindigul,Tamil Nadu,24.22
2016-05-02,2016,5,18,123,Kanyakumari,Tamil Nadu,27.15
2016-05-02,2016,5,18,123,Namakkal,Tamil Nadu,26.9
2016-05-02,2016,5,18,123,Karur,Tamil Nadu,27.36
2016-05-02,2016,5,18,123,Cuddalore,Tamil Nadu,27.45
2016-05-02,2016,5,18,123,Nagapattinam,Tamil Nadu,27.66
2016-05-02,2016,5,18,123,Virudhunagar,Tamil Nadu,25.88
2016-05-02,2016,5,18,123,Sivagangai,Tamil Nadu,26.28
2016-05-02,2016,5,18,123,Ramanathapuram,Tamil Nadu,26.28
2016-05-02,2016,5,18,123,Tiruppur,Tamil Nadu,23.65
2016-05-03,2016,5,18,124,Chennai,Tamil Nadu,28.48
2016-05-03,2016,5,18,124,Coimbatore,Tamil Nadu,22.57
2016-05-03,2016,5,18,124,Madurai,Tamil Nadu,26.73
2016-05-03,2016,5,18,124,Salem,Tamil Nadu,27.82
2016-05-03,2016,5,18,124,Trichy,Tamil Nadu,28.01
2016-05-03,2016,5,18,124,Tirunelveli,Tamil Nadu,27.07
2016-05-03,2016,5,18,124,Erode,Tamil Nadu,23.58
2016-05-03,2016,5,18,124,Vellore,Tamil Nadu,28.24
2016-05-03,2016,5,18,124,Thoothukudi,Tamil Nadu,27.78
2016-05-03,2016,5,18,124,Thanjavur,Tamil Nadu,28.63
2016-05-03,2016,5,18,124,Dindigul,Tamil Nadu,24.28
2016-05-03,2016,5,18,124,Kanyakumari,Tamil Nadu,27.07
2016-05-03,2016,5,18,124,Namakkal,Tamil Nadu,27.82
2016-05-03,2016,5,18,124,Karur,Tamil Nadu,28.01
2016-05-03,2016,5,18,124,Cuddalore,Tamil Nadu,28.63
2016-05-03,2016,5,18,124,Nagapattinam,Tamil Nadu,28.63
2016-05-03,2016,5,18,124,Virudhunagar,Tamil Nadu,25.68
2016-05-03,2016,5,18,124,Sivagangai,Tamil Nadu,26.73
2016-05-03,2016,5,18,124,Ramanathapuram,Tamil Nadu,26.73
2016-05-03,2016,5,18,124,Tiruppur,Tamil Nadu,23.58
2016-05-04,2016,5,18,125,Chennai,Tamil Nadu,28.82
2016-05-04,2016,5,18,125,Coimbatore,Tamil Nadu,22.55
2016-05-04,2016,5,18,125,Madurai,Tamil Nadu,26.66
2016-05-04,2016,5,18,125,Salem,Tamil Nadu,28.16
2016-05-04,2016,5,18,125,Trichy,Tamil Nadu,28.34
2016-05-04,2016,5,18,125,Tirunelveli,Tamil Nadu,27.15
2016-05-04,2016,5,18,125,Erode,Tamil Nadu,23.83
2016-05-04,2016,5,18,125,Vellore,Tamil Nadu,28.46
2016-05-04,2016,5,18,125,Thoothukudi,Tamil Nadu,27.73
2016-05-04,2016,5,18,125,Thanjavur,Tamil Nadu,28.58
2016-05-04,2016,5,18,125,Dindigul,Tamil Nadu,24.4
2016-05-04,2016,5,18,125,Kanyakumari,Tamil Nadu,27.15
2016-05-04,2016,5,18,125,Namakkal,Tamil Nadu,28.16
2016-05-04,2016,5,18,125,Karur,Tamil Nadu,28.34
2016-05-04,2016,5,18,125,Cuddalore,Tamil Nadu,28.6
2016-05-04,2016,5,18,125,Nagapattinam,Tamil Nadu,28.58
2016-05-04,2016,5,18,125,Virudhunagar,Tamil Nadu,25.93
2016-05-04,2016,5,18,125,Sivagangai,Tamil Nadu,26.66
2016-05-04,2016,5,18,125,Ramanathapuram,Tamil Nadu,26.66
2016-05-04,2016,5,18,125,Tiruppur,Tamil Nadu,23.83
2016-05-05,2016,5,18,126,Chennai,Tamil Nadu,28.32
2016-05-05,2016,5,18,126,Coimbatore,Tamil Nadu,22.12
2016-05-05,2016,5,18,126,Madurai,Tamil Nadu,26.09
2016-05-05,2016,5,18,126,Salem,Tamil Nadu,28.29
2016-05-05,2016,5,18,126,Trichy,Tamil Nadu,28.21
2016-05-05,2016,5,18,126,Tirunelveli,Tamil Nadu,26.62
2016-05-05,2016,5,18,126,Erode,Tamil Nadu,23.41
2016-05-05,2016,5,18,126,Vellore,Tamil Nadu,28.49
2016-05-05,2016,5,18,126,Thoothukudi,Tamil Nadu,27.23
2016-05-05,2016,5,18,126,Thanjavur,Tamil Nadu,28.6
2016-05-05,2016,5,18,126,Dindigul,Tamil Nadu,24.21
2016-05-05,2016,5,18,126,Kanyakumari,Tamil Nadu,26.62
2016-05-05,2016,5,18,126,Namakkal,Tamil Nadu,28.29
2016-05-05,2016,5,18,126,Karur,Tamil Nadu,28.21
2016-05-05,2016,5,18,126,Cuddalore,Tamil Nadu,28.77
2016-05-05,2016,5,18,126,Nagapattinam,Tamil Nadu,28.6
2016-05-05,2016,5,18,126,Virudhunagar,Tamil Nadu,25.47
2016-05-05,2016,5,18,126,Sivagangai,Tamil Nadu,26.09
2016-05-05,2016,5,18,126,Ramanathapuram,Tamil Nadu,26.09
2016-05-05,2016,5,18,126,Tiruppur,Tamil Nadu,23.41
2016-05-06,2016,5,18,127,Chennai,Tamil Nadu,28.07
2016-05-06,2016,5,18,127,Coimbatore,Tamil Nadu,21.64
2016-05-06,2016,5,18,127,Madurai,Tamil Nadu,26.2
2016-05-06,2016,5,18,127,Salem,Tamil Nadu,27.27
2016-05-06,2016,5,18,127,Trichy,Tamil Nadu,27.7
2016-05-06,2016,5,18,127,Tirunelveli,Tamil Nadu,26.5
2016-05-06,2016,5,18,127,Erode,Tamil Nadu,22.97
2016-05-06,2016,5,18,127,Vellore,Tamil Nadu,27.61
2016-05-06,2016,5,18,127,Thoothukudi,Tamil Nadu,27.18
2016-05-06,2016,5,18,127,Thanjavur,Tamil Nadu,28.18
2016-05-06,2016,5,18,127,Dindigul,Tamil Nadu,23.69
2016-05-06,2016,5,18,127,Kanyakumari,Tamil Nadu,26.5
2016-05-06,2016,5,18,127,Namakkal,Tamil Nadu,27.27
2016-05-06,2016,5,18,127,Karur,Tamil Nadu,27.7
2016-05-06,2016,5,18,127,Cuddalore,Tamil Nadu,28.17
2016-05-06,2016,5,18,127,Nagapattinam,Tamil Nadu,28.18
2016-05-06,2016,5,18,127,Virudhunagar,Tamil Nadu,25.06
2016-05-06,2016,5,18,127,Sivagangai,Tamil Nadu,26.2
2016-05-06,2016,5,18,127,Ramanathapuram,Tamil Nadu,26.2
2016-05-06,2016,5,18,127,Tiruppur,Tamil Nadu,22.97
2016-05-07,2016,5,18,128,Chennai,Tamil Nadu,26.84
2016-05-07,2016,5,18,128,Coimbatore,Tamil Nadu,20.48
2016-05-07,2016,5,18,128,Madurai,Tamil Nadu,25.73
2016-05-07,2016,5,18,128,Salem,Tamil Nadu,25.74
2016-05-07,2016,5,18,128,Trichy,Tamil Nadu,26.49
2016-05-07,2016,5,18,128,Tirunelveli,Tamil Nadu,26.26
2016-05-07,2016,5,18,128,Erode,Tamil Nadu,21.39
2016-05-07,2016,5,18,128,Vellore,Tamil Nadu,26.44
2016-05-07,2016,5,18,128,Thoothukudi,Tamil Nadu,26.85
2016-05-07,2016,5,18,128,Thanjavur,Tamil Nadu,26.87
2016-05-07,2016,5,18,128,Dindigul,Tamil Nadu,22.57
2016-05-07,2016,5,18,128,Kanyakumari,Tamil Nadu,26.26
2016-05-07,2016,5,18,128,Namakkal,Tamil Nadu,25.74
2016-05-07,2016,5,18,128,Karur,Tamil Nadu,26.49
2016-05-07,2016,5,18,128,Cuddalore,Tamil Nadu,26.72
2016-05-07,2016,5,18,128,Nagapattinam,Tamil Nadu,26.87
2016-05-07,2016,5,18,128,Virudhunagar,Tamil Nadu,24.8
2016-05-07,2016,5,18,128,Sivagangai,Tamil Nadu,25.73
2016-05-07,2016,5,18,128,Ramanathapuram,Tamil Nadu,25.73
2016-05-07,2016,5,18,128,Tiruppur,Tamil Nadu,21.39
2016-05-08,2016,5,18,129,Chennai,Tamil Nadu,28.54
2016-05-08,2016,5,18,129,Coimbatore,Tamil Nadu,21.94
2016-05-08,2016,5,18,129,Madurai,Tamil Nadu,26.22
2016-05-08,2016,5,18,129,Salem,Tamil Nadu,28.11
2016-05-08,2016,5,18,129,Trichy,Tamil Nadu,28.09
2016-05-08,2016,5,18,129,Tirunelveli,Tamil Nadu,26.61
2016-05-08,2016,5,18,129,Erode,Tamil Nadu,23.33
2016-05-08,2016,5,18,129,Vellore,Tamil Nadu,28.17
2016-05-08,2016,5,18,129,Thoothukudi,Tamil Nadu,27.28
2016-05-08,2016,5,18,129,Thanjavur,Tamil Nadu,28.47
2016-05-08,2016,5,18,129,Dindigul,Tamil Nadu,24.09
2016-05-08,2016,5,18,129,Kanyakumari,Tamil Nadu,26.61
2016-05-08,2016,5,18,129,Namakkal,Tamil Nadu,28.11
2016-05-08,2016,5,18,129,Karur,Tamil Nadu,28.09
2016-05-08,2016,5,18,129,Cuddalore,Tamil Nadu,28.57
2016-05-08,2016,5,18,129,Nagapattinam,Tamil Nadu,28.47
2016-05-08,2016,5,18,129,Virudhunagar,Tamil Nadu,25.5
2016-05-08,2016,5,18,129,Sivagangai,Tamil Nadu,26.22
2016-05-08,2016,5,18,129,Ramanathapuram,Tamil Nadu,26.22
2016-05-08,2016,5,18,129,Tiruppur,Tamil Nadu,23.33
2016-05-09,2016,5,19,130,Chennai,Tamil Nadu,28.36
2016-05-09,2016,5,19,130,Coimbatore,Tamil Nadu,20.98
2016-05-09,2016,5,19,130,Madurai,Tamil Nadu,26.08
2016-05-09,2016,5,19,130,Salem,Tamil Nadu,26.36
2016-05-09,2016,5,19,130,Trichy,Tamil Nadu,26.81
2016-05-09,2016,5,19,130,Tirunelveli,Tamil Nadu,26.73
2016-05-09,2016,5,19,130,Erode,Tamil Nadu,21.88
2016-05-09,2016,5,19,130,Vellore,Tamil Nadu,27.22
2016-05-09,2016,5,19,130,Thoothukudi,Tamil Nadu,27.1
2016-05-09,2016,5,19,130,Thanjavur,Tamil Nadu,27.2
2016-05-09,2016,5,19,130,Dindigul,Tamil Nadu,23.03
2016-05-09,2016,5,19,130,Kanyakumari,Tamil Nadu,26.73
2016-05-09,2016,5,19,130,Namakkal,Tamil Nadu,26.36
2016-05-09,2016,5,19,130,Karur,Tamil Nadu,26.81
2016-05-09,2016,5,19,130,Cuddalore,Tamil Nadu,27.38
2016-05-09,2016,5,19,130,Nagapattinam,Tamil Nadu,27.2
2016-05-09,2016,5,19,130,Virudhunagar,Tamil Nadu,25.3
2016-05-09,2016,5,19,130,Sivagangai,Tamil Nadu,26.08
2016-05-09,2016,5,19,130,Ramanathapuram,Tamil Nadu,26.08
2016-05-09,2016,5,19,130,Tiruppur,Tamil Nadu,21.88
2016-05-10,2016,5,19,131,Chennai,Tamil Nadu,28.05
2016-05-10,2016,5,19,131,Coimbatore,Tamil Nadu,22.34
2016-05-10,2016,5,19,131,Madurai,Tamil Nadu,26.06
2016-05-10,2016,5,19,131,Salem,Tamil Nadu,27.47
2016-05-10,2016,5,19,131,Trichy,Tamil Nadu,27.5
2016-05-10,2016,5,19,131,Tirunelveli,Tamil Nadu,26.52
2016-05-10,2016,5,19,131,Erode,Tamil Nadu,23.5
2016-05-10,2016,5,19,131,Vellore,Tamil Nadu,27.86
2016-05-10,2016,5,19,131,Thoothukudi,Tamil Nadu,26.99
2016-05-10,2016,5,19,131,Thanjavur,Tamil Nadu,27.71
2016-05-10,2016,5,19,131,Dindigul,Tamil Nadu,23.87
2016-05-10,2016,5,19,131,Kanyakumari,Tamil Nadu,26.52
2016-05-10,2016,5,19,131,Namakkal,Tamil Nadu,27.47
2016-05-10,2016,5,19,131,Karur,Tamil Nadu,27.5
2016-05-10,2016,5,19,131,Cuddalore,Tamil Nadu,27.74
2016-05-10,2016,5,19,131,Nagapattinam,Tamil Nadu,27.71
2016-05-10,2016,5,19,131,Virudhunagar,Tamil Nadu,25.46
2016-05-10,2016,5,19,131,Sivagangai,Tamil Nadu,26.06
2016-05-10,2016,5,19,131,Ramanathapuram,Tamil Nadu,26.06
2016-05-10,2016,5,19,131,Tiruppur,Tamil Nadu,23.5
2016-05-11,2016,5,19,132,Chennai,Tamil Nadu,27.65
2016-05-11,2016,5,19,132,Coimbatore,Tamil Nadu,20.3
2016-05-11,2016,5,19,132,Madurai,Tamil Nadu,25.08
2016-05-11,2016,5,19,132,Salem,Tamil Nadu,26.13
2016-05-11,2016,5,19,132,Trichy,Tamil Nadu,26.23
2016-05-11,2016,5,19,132,Tirunelveli,Tamil Nadu,25.04
2016-05-11,2016,5,19,132,Erode,Tamil Nadu,21.58
2016-05-11,2016,5,19,132,Vellore,Tamil Nadu,26.73
2016-05-11,2016,5,19,132,Thoothukudi,Tamil Nadu,25.95
2016-05-11,2016,5,19,132,Thanjavur,Tamil Nadu,26.74
2016-05-11,2016,5,19,132,Dindigul,Tamil Nadu,21.65
2016-05-11,2016,5,19,132,Kanyakumari,Tamil Nadu,25.04
2016-05-11,2016,5,19,132,Namakkal,Tamil Nadu,26.13
2016-05-11,2016,5,19,132,Karur,Tamil Nadu,26.23
2016-05-11,2016,5,19,132,Cuddalore,Tamil Nadu,26.9
2016-05-11,2016,5,19,132,Nagapattinam,Tamil Nadu,26.74
2016-05-11,2016,5,19,132,Virudhunagar,Tamil Nadu,23.77
2016-05-11,2016,5,19,132,Sivagangai,Tamil Nadu,25.08
2016-05-11,2016,5,19,132,Ramanathapuram,Tamil Nadu,25.08
2016-05-11,2016,5,19,132,Tiruppur,Tamil Nadu,21.58
2016-05-12,2016,5,19,133,Chennai,Tamil Nadu,27.83
2016-05-12,2016,5,19,133,Coimbatore,Tamil Nadu,20.78
2016-05-12,2016,5,19,133,Madurai,Tamil Nadu,24.88
2016-05-12,2016,5,19,133,Salem,Tamil Nadu,26.08
2016-05-12,2016,5,19,133,Trichy,Tamil Nadu,26.32
2016-05-12,2016,5,19,133,Tirunelveli,Tamil Nadu,25.06
2016-05-12,2016,5,19,133,Erode,Tamil Nadu,21.81
2016-05-12,2016,5,19,133,Vellore,Tamil Nadu,27.15
2016-05-12,2016,5,19,133,Thoothukudi,Tamil Nadu,25.95
2016-05-12,2016,5,19,133,Thanjavur,Tamil Nadu,26.83
2016-05-12,2016,5,19,133,Dindigul,Tamil Nadu,22.33
2016-05-12,2016,5,19,133,Kanyakumari,Tamil Nadu,25.06
2016-05-12,2016,5,19,133,Namakkal,Tamil Nadu,26.08
2016-05-12,2016,5,19,133,Karur,Tamil Nadu,26.32
2016-05-12,2016,5,19,133,Cuddalore,Tamil Nadu,26.83
2016-05-12,2016,5,19,133,Nagapattinam,Tamil Nadu,26.83
2016-05-12,2016,5,19,133,Virudhunagar,Tamil Nadu,23.66
2016-05-12,2016,5,19,133,Sivagangai,Tamil Nadu,24.88
2016-05-12,2016,5,19,133,Ramanathapuram,Tamil Nadu,24.88
2016-05-12,2016,5,19,133,Tiruppur,Tamil Nadu,21.81
2016-05-13,2016,5,19,134,Chennai,Tamil Nadu,28.03
2016-05-13,2016,5,19,134,Coimbatore,Tamil Nadu,21.58
2016-05-13,2016,5,19,134,Madurai,Tamil Nadu,25.53
2016-05-13,2016,5,19,134,Salem,Tamil Nadu,26.82
2016-05-13,2016,5,19,134,Trichy,Tamil Nadu,27.12
2016-05-13,2016,5,19,134,Tirunelveli,Tamil Nadu,25.85
2016-05-13,2016,5,19,134,Erode,Tamil Nadu,22.56
2016-05-13,2016,5,19,134,Vellore,Tamil Nadu,27.42
2016-05-13,2016,5,19,134,Thoothukudi,Tamil Nadu,26.61
2016-05-13,2016,5,19,134,Thanjavur,Tamil Nadu,27.55
2016-05-13,2016,5,19,134,Dindigul,Tamil Nadu,23.35
2016-05-13,2016,5,19,134,Kanyakumari,Tamil Nadu,25.85
2016-05-13,2016,5,19,134,Namakkal,Tamil Nadu,26.82
2016-05-13,2016,5,19,134,Karur,Tamil Nadu,27.12
2016-05-13,2016,5,19,134,Cuddalore,Tamil Nadu,27.55
2016-05-13,2016,5,19,134,Nagapattinam,Tamil Nadu,27.55
2016-05-13,2016,5,19,134,Virudhunagar,Tamil Nadu,24.72
2016-05-13,2016,5,19,134,Sivagangai,Tamil Nadu,25.53
2016-05-13,2016,5,19,134,Ramanathapuram,Tamil Nadu,25.53
2016-05-13,2016,5,19,134,Tiruppur,Tamil Nadu,22.56
2016-05-14,2016,5,19,135,Chennai,Tamil Nadu,28.24
2016-05-14,2016,5,19,135,Coimbatore,Tamil Nadu,21.84
2016-05-14,2016,5,19,135,Madurai,Tamil Nadu,26.25
2016-05-14,2016,5,19,135,Salem,Tamil Nadu,27.49
2016-05-14,2016,5,19,135,Trichy,Tamil Nadu,27.93
2016-05-14,2016,5,19,135,Tirunelveli,Tamil Nadu,26.41
2016-05-14,2016,5,19,135,Erode,Tamil Nadu,23.32
2016-05-14,2016,5,19,135,Vellore,Tamil Nadu,28.11
